univ_id,univ_name_std,source_id,source_url,raw_html_exists,csat_reflection_ratio,english_korean_history,minimum_standard,other,score_conversion,selection_element,snippet_csat_reflection_ratio,snippet_english_korean_history,snippet_minimum_standard,snippet_score_conversion,snippet_selection_element,high_priority_rule_table_n,guide_link_candidate_n,quality_status,raw_row_n,parser_anomaly_row_n,tier_a_row_n,tier_b_row_n,tier_c_row_n,tier_d_row_n,percentile_70cut_available_rate,univ_score_70cut_available_rate,univ_score_ratio_available_rate,crosswalk_difficulty_score,crosswalk_priority,has_csat_rule_candidate,has_score_rule_candidate,has_guide_link_candidate,rule_cache_status,manual_priority_score,gate2_action
U0000149,연세대학교,SRC_0000149_2025_0002,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000149,True,27,1,0,0,1,7,4,4,4,4,4,17,2,FAIL,235,0,0,0,0,235,0.0,0.3446808510638298,0.0,0.051063829787234,low,True,True,True,CACHE_RULE_CANDIDATES,7,캐시 후보 수동검토 최우선
U0000102,동덕여자대학교,SRC_0000102_2025_0036,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000102,True,18,0,0,0,1,5,4,4,4,4,4,10,2,FAIL,86,0,0,0,0,86,0.0,0.0,0.0,0.2267441860465116,medium,True,True,True,CACHE_RULE_CANDIDATES,7,캐시 후보 수동검토 최우선
U0000074,광운대학교,SRC_0000074_2025_0026,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000074,True,18,0,0,1,0,6,4,4,1,4,4,10,2,FAIL,65,0,0,0,0,65,0.0,0.0,0.0,0.1846153846153846,low,True,True,True,CACHE_RULE_CANDIDATES,7,캐시 후보 수동검토 최우선
U0000141,숙명여자대학교,SRC_0000141_2025_0016,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000141,True,11,0,1,1,0,4,4,4,4,4,4,8,2,FAIL,42,0,0,0,0,42,0.0,0.0,0.0,0.0714285714285714,low,True,True,True,CACHE_RULE_CANDIDATES,7,캐시 후보 수동검토 최우선
U0000040,서울시립대학교,SRC_0000040_2025_0009,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000040,True,15,0,1,0,1,6,4,4,4,4,4,11,2,FAIL,40,0,0,0,0,40,0.0,1.0,0.0,0.1375,low,True,True,True,CACHE_RULE_CANDIDATES,7,캐시 후보 수동검토 최우선
U0000013,부경대학교,SRC_0000013_2025_0044,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000013,True,20,0,0,4,0,4,4,4,1,4,4,12,2,FAIL,61,3,0,54,0,7,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.1147540983606557,low,True,True,True,CACHE_RULE_CANDIDATES,5,캐시 후보에서 반영규칙 후보 추출
U0000046,가톨릭대학교,SRC_0000046_2025_0030,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000046,True,14,0,1,1,1,7,4,4,4,4,4,9,2,WARN,38,0,0,18,20,0,0.4736842105263157,1.0,1.0,1.8421052631578947,high,True,True,True,CACHE_RULE_CANDIDATES,5,캐시 후보에서 반영규칙 후보 추출
U0000036,서울과학기술대학교,SRC_0000036_2025_0021,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000036,True,13,0,0,0,1,14,4,4,4,4,4,12,2,WARN,41,0,0,41,0,0,1.0,1.0,1.0,0.8414634146341464,high,True,True,True,CACHE_RULE_CANDIDATES,2,캐시 후보에서 반영규칙 후보 추출
U0000138,세종대학교,SRC_0000138_2025_0019,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000138,True,21,0,0,0,1,12,4,4,4,4,4,15,2,WARN,31,0,0,31,0,0,1.0,1.0,1.0,0.967741935483871,high,True,True,True,CACHE_RULE_CANDIDATES,2,캐시 후보에서 반영규칙 후보 추출
U0000099,덕성여자대학교,SRC_0000099_2025_0035,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000099,True,25,0,1,0,0,9,4,4,4,4,4,30,2,WARN,7,0,0,7,0,0,1.0,1.0,1.0,0.857142857142857,high,True,True,True,CACHE_RULE_CANDIDATES,2,캐시 후보에서 반영규칙 후보 추출
